Formato;Ref.;Linha;Coleção;Cor;Superfície;Faces;Variação de Tonalidade;Local de Uso;Derivação;m2/cx;peças/cx;m2/pallet;cx/pallet;peso bruto/m2;peso bruto/cx;"Espessura
mm"; Preco 1 ; Preco 2 ; Preco 3 ; Preco 4 
20 x 141,5;200001;ROVERE;;única;Natural;24;V3;3;R306;1,42;5;56,80;40;21,10;30,00;9,0; R$ 71,43 ; R$ 80,46 ; R$ 90,86 ; R$ 103,86 
20 x 141,5;200006;CERATTO;Naturale;carvalho;Natural;20;V3;3;R306;1,42;5;56,80;40;21,10;30,00;9,0; R$ 71,32 ; R$ 80,20 ; R$ 90,40 ; R$ 103,11 
20 x 141,5;200011;IRONWORK;Bistrô;única;Natural;24;V3;3;R306;1,42;5;56,80;40;21,10;30,00;9,0; R$ 90,88 ; R$ 103,84 ; R$ 119,17 ; R$ 138,71 
20 x 141,5;200017;MADERO;Naturale;jatobá;Externo;12;V3;4;R306;1,42;5;56,80;40;21,10;30,00;9,0; R$ 76,64 ; R$ 86,87 ; R$ 98,81 ; R$ 113,84 
20 x 141,5;200019;BALI;Naturale;jatobá;Natural;12;V2;3;R306;1,42;5;56,80;40;21,10;30,00;9,0; R$ 71,40 ; R$ 80,39 ; R$ 90,74 ; R$ 103,66 
20 x 141,5;200028;GARDEN;Naturale;única;Natural Vein;16;V3;3;R306;1,42;5;56,80;40;21,10;30,00;9,0; R$ 71,28 ; R$ 80,11 ; R$ 90,23 ; R$ 102,85 
20 x 141,5;200029 - VILLA ART;OAKVILLE;Naturale;amêndoa;Natural Vein;8;V3;3;R306;1,42;5;56,80;40;21,10;30,00;9,0; R$ 70,26 ; R$ 79,22 ; R$ 89,57 ; R$ 102,64 
20 x 141,5;200030 - VILLA ART;OAKVILLE;Naturale;carvalho;Natural Vein;8;V3;3;R306;1,42;5;56,80;40;21,10;30,00;9,0; R$ 71,60 ; R$ 80,72 ; R$ 91,28 ; R$ 104,59 
20 x 141,5;200031;ECOVILLE;Naturale;cipres;Natural Vein;8;V3;3;R306;1,42;5;56,80;40;21,10;30,00;9,0; R$ 78,79 ; R$ 89,38 ; R$ 101,74 ; R$ 117,32 
20 x 141,5;200032;ECOVILLE;Naturale;jatobá;Natural Vein;8;V3;3;R306;1,42;5;56,80;40;21,10;30,00;9,0; R$ 78,40 ; R$ 88,44 ; R$ 100,05 ; R$ 114,58 
20 x 141,5;200033;MATSU;Naturale;bambu;Natural Vein;12;V3;3;R306;1,42;5;56,80;40;21,10;30,00;9,0; R$ 78,66 ; R$ 89,07 ; R$ 101,17 ; R$ 116,40 
20 x 141,5;200034;MATSU;Naturale;vime;Natural Vein;12;V3;3;R306;1,42;5;56,80;40;21,10;30,00;9,0; R$ 78,59 ; R$ 88,88 ; R$ 100,84 ; R$ 115,86 
20 x 141,5;200035 - VILLA ART;OAKVILLE;Naturale;carvalho;Externo;8;V3;4;R306;1,42;5;56,80;40;21,10;30,00;9,0; R$ 71,82 ; R$ 81,41 ; R$ 92,59 ; R$ 106,78 
20 x 141,5;200036;ECOVILLE;Naturale;jatobá;Externo;8;V3;4;R306;1,42;5;56,80;40;21,10;30,00;9,0; R$ 76,70 ; R$ 87,03 ; R$ 99,08 ; R$ 114,29 
20 x 141,5;200037;BRUT;Metropolitana;única;Natural Sense UP;16;V3;3;R306;1,42;5;56,80;40;21,10;30,00;9,0; R$ 94,53 ; R$ 106,96 ; R$ 121,40 ; R$ 139,54 
20 x 141,5;200038;CERRADO;Naturale;única;Natural Sense IN;16;V3;3;R306;1,42;5;56,80;40;21,10;30,00;9,0; R$ 80,37 ; R$ 90,36 ; R$ 101,86 ; R$ 116,18 
